gvkey,primary_permno
003716,28346
003718,28354
003719,28362
003720,28389
003721,63538
003724,40897
003725,28426
003728,87186
003729,28434
003730,47829
003732,57701
003733,25689
003734,11607
003735,49680
003736,49285
003737,28442
003738,28469
003740,28477
003741,28493
003742,28506
003746,12730
003747,28522
003748,19406
003749,31130
003750,28549
003751,28557
003752,60919
003753,28565
003755,28573
003756,66472
003757,28600
003758,50067
003759,28602
003760,57592
003761,28629
003762,11011
003764,28653
003765,28661
003768,28688
003769,28696
003770,28709
003772,28717
003773,28725
003774,28733
003775,59862
003776,87207
003777,28741
003778,28760
003779,28784
003781,10731
003782,59707
003783,28813
003784,47116
003785,63546
003786,28840
003787,28848
003788,28856
003789,28864
003790,28872
003791,28901
003792,28928
003793,11183
003794,28944
003796,12005
003797,76484
003798,28952
003799,28979
003800,28987
003802,28995
003803,78274
003804,54260
003805,29023
003806,29050
003807,29058
003808,31149
003809,29066
003810,22699
003811,10660
003812,41603
003813,49154
003814,22859
003818,45196
003819,51924
003820,29103
003821,63554
003823,54455
003824,29111
003825,29130
003826,29138
003827,75877
003828,69323
003829,29154
003831,29162
003832,29189
003833,60273
003835,19350
003837,29197
003839,29210
003840,45110
003841,11658
003842,64426
003844,29226
003846,59715
003847,40512
003848,24002
003849,64215
003851,26112
003852,29269
003853,51350
003854,29277
003855,29285
003856,29293
003857,29306
003858,29314
003859,24344
003861,31173
003862,77389
003863,61743
003864,51879
003865,29357
003866,29365
003867,78277
003868,31181
003869,42526
003870,29402
003871,29429
003872,29437
003873,29445
003874,27203
003875,29453
003877,29461
003878,29488
003881,29496
003882,48477
003883,44564
003884,29509
003885,65218
003886,55589
003887,29525
003888,22867
003889,87266
003891,29541
003892,29560
003893,43457
003894,29568
003895,29576
003896,29584
003897,11674
003898,29592
003899,29605
003900,29613
003901,51449
003902,49795
003903,52599
003904,29648
003905,76708
003906,29664
003907,78518
003908,29699
003910,29701
003911,45874
003913,29720
003914,27350
003915,29728
003916,29736
003917,29752
003918,65226
003919,47386
003921,29779
003923,29787
003924,29795
003925,65242
003926,29808
003927,29816
003928,16029
003929,53452
003930,24715
003932,29824
003933,45516
003935,29832
003936,29859
003937,29867
003938,29875
003939,57357
003940,69905
003941,29904
003942,29912
003943,29939
003944,29947
003945,42788
003946,40440
003947,29955
003948,29963
003949,76769
003950,29971
003951,29990
003954,30008
003955,43916
003957,30024
003958,30032
003959,30059
003961,30075
003962,79322
003963,87303
003964,49429
003965,45989
003966,47431
003967,30091
003968,30112
003969,44943
003970,30139
003971,30147
003972,30155
003974,30163
003975,66480
003976,55538
003978,30190
003979,87346
003980,26403
003981,87354
003982,54834
003984,30198
003985,30219
003986,30227
003987,23456
003990,31261
003991,30251
003992,59395
003994,43211
003998,22860
003999,69913
004000,61305
004001,10886
004003,39052
004004,30294
004005,30307
004006,30315
004007,30323
004008,10024
004009,30331
004011,22648
004012,59723
004013,30358
004014,30366
004015,30374
004016,30382
004018,30403
004021,11690
004022,31288
004024,30411
004025,30430
004028,30446
004029,64936
004032,30462
004034,31325
004036,61313
004037,54295
004040,38682
004042,30518
004044,61110
004045,89695
004046,30542
004047,46666
004048,31333
004049,31341
004050,41515
004051,30577
004052,30593
004053,61321
004054,30614
004055,30622
004056,19203
004057,30649
004058,25953
004060,20626
004062,58990
004063,30657
004065,54279
004066,30681
004067,87410
004068,30700
004069,46471
004071,30729
004072,30737
004073,19254
004074,30753
004076,40758
004077,30761
004078,30780
004079,43385
004080,30788
004082,63562
004083,31376
004084,31384
004085,30809
004087,11703
004088,30825
004090,80971
004091,63132
004093,27959
004094,48506
004095,30868
004097,30832
004098,30876
004099,31405
004100,30884
004101,56960
004103,25072
004105,30892
004106,30905
004108,30940
004109,31421
004110,30948
004112,30964
004113,30972
004114,62543
004115,12008
004117,39941
004119,31456
004120,12158
004121,31035
004122,31043
004123,87434
004124,31051
004126,31464
004127,31070
004128,31078
004129,31086
004130,12486
004132,31107
004133,31115
004134,28644
004135,51502
004136,31131
004137,31150
004138,31595
004140,78448
004141,51844
004142,31166
004143,31174
004144,46025
004145,42200
004146,31182
004147,31203
004148,31211
004149,31230
004150,31246
004151,31254
004152,17136
004153,64944
004154,11746
004155,31289
004156,63159
004157,62703
004158,31297
004159,43342
004160,32281
004161,31310
004162,31318
004163,31326
004164,42729
004165,31342
004166,31369
004168,21872
004169,31393
004170,31406
004173,31414
004174,48741
004176,31422
004177,87469
004178,18251
004179,50331
004182,31457
004183,20976
004186,31480
004188,31499
004189,26075
004191,44599
004193,85082
004194,11754
004195,31465
004196,31473
004198,31481
004201,31500
004202,41558
004203,31529
004204,31536
004205,65568
004206,31537
004207,40141
004208,52150
004209,56477
004213,70578
004216,31596
004218,21039
004220,31625
004221,50630
004222,31552
004223,68398
004225,31668
004227,56303
004228,84799
004230,54391
004231,31705
